Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 04/09  03:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/09  04:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/09  05:00:00,2923570.5965399087,2043510.819381642,9193157.415921549,9193157.415921549,0.0 
 04/09  06:00:00,2923570.5965399087,2043510.819381642,10305881.415921549,10305881.415921549,0.0 
 04/09  07:00:00,2911372.810563925,2043510.819381642,8104883.629945565,8104883.629945565,0.0 
 04/09  08:00:00,2764842.0811662685,2043510.819381642,6863952.90054791,6863952.900547909,0.0 
 04/09  09:00:00,2709293.5044934896,2043510.819381642,6808404.32387513,6808404.32387513,0.0 
 04/09  10:00:00,2640402.108364621,2043510.819381642,6739512.927746263,6739512.927746263,0.0 
 04/09  11:00:00,2633618.1465952189,2043510.819381642,6732728.9659768589,6732728.9659768589,0.0 
 04/09  12:00:00,2657830.176247596,2043510.819381642,6756940.995629235,6756940.995629235,0.0 
